DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2018,7611,3,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7616,9,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7607,24,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7615,24,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7602,25,6,1,90.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,3,5,1,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,17,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7619,18,2,1,30.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,12,4,1,42.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,6,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7608,10,6,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7602,21,6,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,16,3,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,12,5,1,15.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,23,1,2,75.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,8,2,2,72.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,13,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,23,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7610,18,6,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,13,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,16,4,1,306.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7618,1,4,2,612.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,12,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7618,17,6,1,27.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,1,2,2,234.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7609,14,5,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,10,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7603,21,4,1,87.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,14,1,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,17,2,1,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7610,1,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,2,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7612,13,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7615,2,1,1,48.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7605,15,2,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,22,2,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,17,6,2,21.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7604,3,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7611,5,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7614,3,2,1,207.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7620,13,5,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7614,9,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7604,11,1,1,690.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,15,6,2,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,24,5,2,390.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7607,17,3,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,5,5,2,150.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7601,3,2,2,201.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7612,14,1,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,12,2,2,,c
STATSNZ:CEN23_ECI_017(1.0),2018,7607,18,6,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7619,15,6,2,3.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7603,25,2,2,114.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7606,25,4,1,636.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,5,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7617,8,3,2,2304.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7602,4,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2018,7620,2,4,2,12.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7613,14,1,1,0.0,
STATSNZ:CEN23_ECI_017(1.0),2018,7608,17,1,1,,c
