DATAFLOW,CEN23_YEAR_001,CEN23_GEO_002,CEN23_REA_003,CEN23_ETH_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,2,2,10368.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,6,2,462.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,3,2,10152.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,3,2,756.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,2,2,8460.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,6,2,186.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,2,1,3030.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,5,2,357.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,2,1,2550.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,5,1,876.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,4,1,4992.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,5,1,888.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,2,2,1527.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,4,2,8022.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,3,1,12072.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,2,1,3210.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,2,2,4527.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,6,1,663.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,4,2,2298.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,5,2,510.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,6,1,291.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,1,2,23691.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,4,2,1938.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,5,2,837.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,6,1,399.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,5,2,294.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,5,2,1077.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,4,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7614,999,6,2,435.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,5,2,414.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,2,1,2544.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,2,1,1422.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,4,1,7302.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,2,2,462.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,2,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,1,1,6261.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,3,1,780.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,3,1,594.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,5,1,975.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,2,2,5820.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,3,2,2319.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7603,999,1,1,16365.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,6,2,159.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,1,1,13296.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,4,1,9888.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,1,2,26166.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,1,1,12492.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,6,1,273.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,1,2,3642.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,4,1,804.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,6,1,723.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,6,2,324.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,4,1,2598.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7620,999,5,1,291.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,3,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,1,2,21282.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,6,2,228.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,2,1,7548.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,6,2,315.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,1,1,25779.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,1,2,15873.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,5,1,444.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7618,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,1,2,16056.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7602,999,1,1,36417.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7616,999,3,1,2790.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7619,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7613,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7615,999,5,1,549.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,3,2,1278.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7606,999,5,2,1074.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7608,999,6,2,6.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,1,1,14730.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7621,999,2,2,4203.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,2,2,3402.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,3,1,2466.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7610,999,1,2,22641.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,3,2,20313.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7605,999,3,2,579.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7609,999,5,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7607,999,6,1,381.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7617,999,5,2,213.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,6,1,330.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,6,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7604,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,1,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7601,999,3,1,726.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7612,999,4,3,,_U
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,5,1,843.0,
STATSNZ:CEN23_ECI_017(1.0),2013,7611,999,3,3,,_U
