DATAFLOW,CEN23_YEAR_001,CEN23_GEO_008,CEN23_ETH_004,CEN23_AGE_003,CEN23_GEN_002,OBS_VALUE,OBS_STATUS
STATSNZ:CEN23_ECI_018(1.0),2013,7617,2,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7609,4,1,2,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,5,13,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,5,9,2,66.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,4,16,1,156.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,4,12,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,1,11,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,5,9,1,69.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,4,13,1,348.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,4,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7618,3,16,1,114.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,2,3,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7618,1,12,1,444.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,1,1,1236.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,3,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,1,15,2,18.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,11,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,3,6,1,777.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,6,5,2,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,3,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7609,6,4,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,2,14,1,45.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,19,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,4,8,2,684.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,4,13,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,5,7,1,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7609,2,7,2,21.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,5,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,6,19,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,5,10,2,51.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,6,7,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,6,2,2,45.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7602,4,8,1,168.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,2,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7601,1,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,2,1,1,144.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,6,8,1,48.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,4,10,2,138.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,3,19,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,6,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7611,4,14,1,300.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,2,8,2,201.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,6,10,2,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,6,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7602,5,18,2,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,1,9,1,387.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,1,9,1,1983.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,4,17,1,24.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,3,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7612,4,14,2,285.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,4,10,1,267.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,1,9,2,2766.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,5,4,1,39.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,2,18,2,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,1,5,1,828.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,6,8,2,36.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,2,11,2,99.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,6,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7607,5,12,1,9.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,6,7,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7613,1,17,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,4,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,4,15,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,2,18,2,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,6,19,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,6,11,1,30.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7608,6,6,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,1,9,1,1716.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7619,6,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7604,4,17,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7605,6,10,1,39.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,2,17,2,6.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,2,2,1,348.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,1,13,2,849.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,3,5,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7619,1,19,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7603,4,16,1,57.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,3,4,2,339.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,2,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7614,6,14,1,48.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,4,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,2,14,1,123.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7605,2,2,2,126.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,3,5,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7611,2,5,1,270.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7621,2,16,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7616,3,14,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,6,2,1,3.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7612,1,4,2,1824.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7620,2,9,2,414.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7615,2,6,2,351.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,4,3,2,675.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7617,2,13,2,186.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,2,7,2,516.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,1,1,1,1062.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,1,3,2,1911.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7601,3,14,2,12.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,4,16,2,126.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7613,3,3,1,423.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7611,4,9,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7613,2,9,2,102.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7606,3,2,1,1194.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,6,1,15.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7604,3,13,1,60.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7614,4,1,2,423.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7607,6,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7617,1,2,1,525.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,4,15,1,453.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7610,6,6,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7610,2,18,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7608,4,10,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,6,18,1,0.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7616,1,6,2,1644.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7618,4,3,2,696.0,
STATSNZ:CEN23_ECI_018(1.0),2013,7603,4,2,3,,_U
STATSNZ:CEN23_ECI_018(1.0),2013,7615,5,14,1,6.0,
